Test Number,VPN Server,IP Before,IP After,Download Before (Mbps),Download After (Mbps),Upload Before (Mbps),Upload After (Mbps),Ping Before (ms),Ping After (ms),Server Info Before,Server Info After
Test #11,United Kingdom #1737,78.61.153.13,194.35.232.69,90.43,83.01,93.29,76.35,13.03,49.13,"{'url': 'http://speedtestnet.fastlink.lt:8080/speedtest/upload.php', 'lat': '54.6833', 'lon': '25.2833', 'name': 'Vilnius', 'country': 'Lithuania', 'cc': 'LT', 'sponsor': 'FASTLINK', 'id': '39694', 'host': 'speedtestnet.fastlink.lt:8080', 'd': 0.8852096312078923, 'latency': 13.032}","{'url': 'http://sp1-1.uk.cxn-network.net:8080/speedtest/upload.php', 'lat': '53.7457', 'lon': '-0.3367', 'name': 'Hull', 'country': 'United Kingdom', 'cc': 'GB', 'sponsor': 'Connexin Ltd', 'id': '10916', 'host': 'sp1-1.uk.cxn-network.net:8080', 'd': 249.91396405188596, 'latency': 49.134}"
Test #12,France #778,78.61.153.13,,92.31,,93.35,,13.24,,"{'url': 'http://speedtestnet.fastlink.lt:8080/speedtest/upload.php', 'lat': '54.6833', 'lon': '25.2833', 'name': 'Vilnius', 'country': 'Lithuania', 'cc': 'LT', 'sponsor': 'FASTLINK', 'id': '39694', 'host': 'speedtestnet.fastlink.lt:8080', 'd': 0.8852096312078923, 'latency': 13.238}",
Test #13,Canada #1565,78.61.153.13,185.193.64.68,92.0,65.78,93.59,18.97,13.0,132.75,"{'url': 'http://speedtestnet.fastlink.lt:8080/speedtest/upload.php', 'lat': '54.6833', 'lon': '25.2833', 'name': 'Vilnius', 'country': 'Lithuania', 'cc': 'LT', 'sponsor': 'FASTLINK', 'id': '39694', 'host': 'speedtestnet.fastlink.lt:8080', 'd': 0.8852096312078923, 'latency': 12.999}","{'url': 'http://speed.cronomagic.com:8080/speedtest/upload.php', 'lat': '45.5017', 'lon': '-73.5673', 'name': 'Montréal, QC', 'country': 'Canada', 'cc': 'CA', 'sponsor': 'CRONOMAGIC', 'id': '10227', 'host': 'speed.cronomagic.com:8080', 'd': 1.7880855897304244, 'latency': 132.745}"
Test #14,Germany #1097,78.61.153.13,5.180.61.33,92.12,85.61,93.72,71.73,12.0,38.67,"{'url': 'http://speedtestnet.fastlink.lt:8080/speedtest/upload.php', 'lat': '54.6833', 'lon': '25.2833', 'name': 'Vilnius', 'country': 'Lithuania', 'cc': 'LT', 'sponsor': 'FASTLINK', 'id': '39694', 'host': 'speedtestnet.fastlink.lt:8080', 'd': 0.8852096312078923, 'latency': 12.002}","{'url': 'http://speedtest-srb.telta.de:8080/speedtest/upload.php', 'lat': '52.5659', 'lon': '13.8778', 'name': 'Strausberg', 'country': 'Germany', 'cc': 'DE', 'sponsor': 'TELTA Citynetz GmbH', 'id': '52977', 'host': 'speedtest-srb.telta.de:8080', 'd': 32.25819174682654, 'latency': 38.667}"
Test #15,Germany #1089,78.61.153.13,5.180.61.94,91.96,82.67,93.95,75.01,11.73,37.14,"{'url': 'http://speedtestnet.fastlink.lt:8080/speedtest/upload.php', 'lat': '54.6833', 'lon': '25.2833', 'name': 'Vilnius', 'country': 'Lithuania', 'cc': 'LT', 'sponsor': 'FASTLINK', 'id': '39694', 'host': 'speedtestnet.fastlink.lt:8080', 'd': 0.8852096312078923, 'latency': 11.726}","{'url': 'http://netservice01.ber01.lwlcom.net:8080/speedtest/upload.php', 'lat': '52.5167', 'lon': '13.3833', 'name': 'Berlin', 'country': 'Germany', 'cc': 'DE', 'sponsor': 'LWLcom GmbH', 'id': '53495', 'host': 'netservice01.ber01.lwlcom.net:8080', 'd': 1.629085992581754, 'latency': 37.141}"
Test #16,United Kingdom #2220,78.61.153.13,185.158.242.191,91.85,80.91,93.92,71.68,13.32,47.29,"{'url': 'http://speedtestnet.fastlink.lt:8080/speedtest/upload.php', 'lat': '54.6833', 'lon': '25.2833', 'name': 'Vilnius', 'country': 'Lithuania', 'cc': 'LT', 'sponsor': 'FASTLINK', 'id': '39694', 'host': 'speedtestnet.fastlink.lt:8080', 'd': 0.8852096312078923, 'latency': 13.316}","{'url': 'http://sp1-1.uk.cxn-network.net:8080/speedtest/upload.php', 'lat': '53.7457', 'lon': '-0.3367', 'name': 'Hull', 'country': 'United Kingdom', 'cc': 'GB', 'sponsor': 'Connexin Ltd', 'id': '10916', 'host': 'sp1-1.uk.cxn-network.net:8080', 'd': 249.31825917121336, 'latency': 47.294}"
Test #17,France #836,78.61.153.13,,91.97,,94.29,,13.1,,"{'url': 'http://speedtestnet.fastlink.lt:8080/speedtest/upload.php', 'lat': '54.6833', 'lon': '25.2833', 'name': 'Vilnius', 'country': 'Lithuania', 'cc': 'LT', 'sponsor': 'FASTLINK', 'id': '39694', 'host': 'speedtestnet.fastlink.lt:8080', 'd': 0.8852096312078923, 'latency': 13.103}",
Test #18,United Kingdom #1840,78.61.153.13,2.58.72.200,93.01,80.66,93.93,76.98,12.8,50.23,"{'url': 'http://speedtestnet.fastlink.lt:8080/speedtest/upload.php', 'lat': '54.6833', 'lon': '25.2833', 'name': 'Vilnius', 'country': 'Lithuania', 'cc': 'LT', 'sponsor': 'FASTLINK', 'id': '39694', 'host': 'speedtestnet.fastlink.lt:8080', 'd': 0.8852096312078923, 'latency': 12.801}","{'url': 'http://fibretest.kcom.com:8080/speedtest/upload.php', 'lat': '53.7457', 'lon': '-0.3367', 'name': 'Hull', 'country': 'United Kingdom', 'cc': 'GB', 'sponsor': 'KCOM Group PLC', 'id': '16650', 'host': 'fibretest.kcom.com:8080', 'd': 249.31825917121336, 'latency': 50.23}"
Test #19,Germany #1098,78.61.153.13,5.180.61.25,93.24,85.4,94.05,81.18,11.49,36.04,"{'url': 'http://speedtestnet.fastlink.lt:8080/speedtest/upload.php', 'lat': '54.6833', 'lon': '25.2833', 'name': 'Vilnius', 'country': 'Lithuania', 'cc': 'LT', 'sponsor': 'FASTLINK', 'id': '39694', 'host': 'speedtestnet.fastlink.lt:8080', 'd': 0.8852096312078923, 'latency': 11.491}","{'url': 'http://netservice01.ber01.lwlcom.net:8080/speedtest/upload.php', 'lat': '52.5167', 'lon': '13.3833', 'name': 'Berlin', 'country': 'Germany', 'cc': 'DE', 'sponsor': 'LWLcom GmbH', 'id': '53495', 'host': 'netservice01.ber01.lwlcom.net:8080', 'd': 1.629085992581754, 'latency': 36.036}"
Test #20,Germany #1075,78.61.153.13,5.180.61.205,93.44,84.14,94.32,78.75,12.63,38.53,"{'url': 'http://speedtestnet.fastlink.lt:8080/speedtest/upload.php', 'lat': '54.6833', 'lon': '25.2833', 'name': 'Vilnius', 'country': 'Lithuania', 'cc': 'LT', 'sponsor': 'FASTLINK', 'id': '39694', 'host': 'speedtestnet.fastlink.lt:8080', 'd': 0.8852096312078923, 'latency': 12.627}","{'url': 'http://speedtest-srb.telta.de:8080/speedtest/upload.php', 'lat': '52.5659', 'lon': '13.8778', 'name': 'Strausberg', 'country': 'Germany', 'cc': 'DE', 'sponsor': 'TELTA Citynetz GmbH', 'id': '52977', 'host': 'speedtest-srb.telta.de:8080', 'd': 32.25819174682654, 'latency': 38.526}"
